"filename", "language", "JavaScript", "XML", "CSS", "JSON", "Markdown", "Gemfile", "HTML", "Ruby", "YAML", "erb", "comment", "blank", "total"
"/Users/kolt/Development/Capstone/gabbys-salsa/config/boot.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 2, 5
"/Users/kolt/Development/Capstone/gabbys-salsa/config/cable.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 3, 11
"/Users/kolt/Development/Capstone/gabbys-salsa/config/database.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 62, 10, 87
"/Users/kolt/Development/Capstone/gabbys-salsa/config/environment.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 2, 6
"/Users/kolt/Development/Capstone/gabbys-salsa/config/environments/development.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 23, 20, 67
"/Users/kolt/Development/Capstone/gabbys-salsa/config/environments/production.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 65, 27, 114
"/Users/kolt/Development/Capstone/gabbys-salsa/config/environments/test.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 23, 17, 61
"/Users/kolt/Development/Capstone/gabbys-salsa/config/initializers/application_controller_renderer.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 2, 9
"/Users/kolt/Development/Capstone/gabbys-salsa/config/initializers/backtrace_silencers.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 5, 3, 9
"/Users/kolt/Development/Capstone/gabbys-salsa/config/initializers/cors.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 7, 19
"/Users/kolt/Development/Capstone/gabbys-salsa/config/initializers/filter_parameter_logging.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 2, 2, 7
"/Users/kolt/Development/Capstone/gabbys-salsa/config/initializers/inflections.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 3, 17
"/Users/kolt/Development/Capstone/gabbys-salsa/config/initializers/mime_types.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 5
"/Users/kolt/Development/Capstone/gabbys-salsa/config/initializers/wrap_parameters.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 8, 4, 15
"/Users/kolt/Development/Capstone/gabbys-salsa/config/locales/en.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 30, 2, 34
